Item1,Item2,Support,Confidence,Lift
"('IACS',)","('Bulk carrier',)",20.17%,38.56%,1.617
"('Bulk carrier',)","('IACS',)",20.17%,84.57%,1.617
"('YEAR[5~15)',)","('IACS',)",20.29%,73.05%,1.396
"('IACS',)","('YEAR[5~15)',)",20.29%,38.78%,1.396
"('DAY[1~3)',)","('YEAR[15~30)',)",20.36%,51.16%,0.971
"('YEAR[15~30)',)","('DAY[1~3)',)",20.36%,38.64%,0.971
"('ONE-07',)","('Non-IACS',)",20.44%,52.49%,1.101
"('Non-IACS',)","('ONE-07',)",20.44%,42.87%,1.101
"('FOCs',)","('YEAR[15~30)', 'General cargo/multipurpose')",20.56%,30.75%,1.080
"('YEAR[15~30)',)","('FOCs', 'General cargo/multipurpose')",20.56%,39.02%,1.187
"('General cargo/multipurpose',)","('FOCs', 'YEAR[15~30)')",20.56%,42.95%,1.202
"('FOCs', 'YEAR[15~30)')","('General cargo/multipurpose',)",20.56%,57.51%,1.202
"('FOCs', 'General cargo/multipurpose')","('YEAR[15~30)',)",20.56%,62.55%,1.187
"('YEAR[15~30)', 'General cargo/multipurpose')","('FOCs',)",20.56%,72.20%,1.080
"('ONE-07',)","('YEAR[15~30)',)",21.22%,54.48%,1.034
"('YEAR[15~30)',)","('ONE-07',)",21.22%,40.26%,1.034
"('TON<2000',)","('General cargo/multipurpose',)",21.30%,72.65%,1.518
"('General cargo/multipurpose',)","('TON<2000',)",21.30%,44.51%,1.518
"('Non-IACS',)","('YEAR[15~30)', 'General cargo/multipurpose')",21.50%,45.08%,1.583
"('YEAR[15~30)',)","('Non-IACS', 'General cargo/multipurpose')",21.50%,40.80%,1.172
"('General cargo/multipurpose',)","('Non-IACS', 'YEAR[15~30)')",21.50%,44.91%,1.596
"('Non-IACS', 'YEAR[15~30)')","('General cargo/multipurpose',)",21.50%,76.40%,1.596
"('Non-IACS', 'General cargo/multipurpose')","('YEAR[15~30)',)",21.50%,61.75%,1.172
"('YEAR[15~30)', 'General cargo/multipurpose')","('Non-IACS',)",21.50%,75.49%,1.583
"('IACS',)","('TON>20000',)",23.77%,45.44%,1.793
"('TON>20000',)","('IACS',)",23.77%,93.80%,1.793
"('DAY[1~3)',)","('IACS',)",24.02%,60.35%,1.154
"('IACS',)","('DAY[1~3)',)",24.02%,45.91%,1.154
"('Non-IACS',)","('FOCs', 'General cargo/multipurpose')",24.43%,51.22%,1.559
"('FOCs',)","('Non-IACS', 'General cargo/multipurpose')",24.43%,36.53%,1.049
"('General cargo/multipurpose',)","('Non-IACS', 'FOCs')",24.43%,51.03%,1.635
"('Non-IACS', 'FOCs')","('General cargo/multipurpose',)",24.43%,78.27%,1.635
"('Non-IACS', 'General cargo/multipurpose')","('FOCs',)",24.43%,70.16%,1.049
"('FOCs', 'General cargo/multipurpose')","('Non-IACS',)",24.43%,74.32%,1.559
"('IACS',)","('YEAR[15~30)',)",24.56%,46.94%,0.891
"('YEAR[15~30)',)","('IACS',)",24.56%,46.60%,0.891
"('ONE-07',)","('FOCs',)",25.30%,64.97%,0.972
"('FOCs',)","('ONE-07',)",25.30%,37.84%,0.972
"('Non-IACS',)","('TON<2000',)",25.52%,53.52%,1.825
"('TON<2000',)","('Non-IACS',)",25.52%,87.03%,1.825
"('Panama',)","('FOCs',)",26.17%,100.00%,1.496
"('FOCs',)","('Panama',)",26.17%,39.13%,1.496
"('DAY[1~3)',)","('FOCs',)",26.59%,66.82%,0.999
"('FOCs',)","('DAY[1~3)',)",26.59%,39.77%,0.999
"('Non-IACS',)","('YEAR[15~30)',)",28.14%,59.00%,1.120
"('YEAR[15~30)',)","('Non-IACS',)",28.14%,53.40%,1.120
"('YEAR[15~30)',)","('General cargo/multipurpose',)",28.48%,54.04%,1.129
"('General cargo/multipurpose',)","('YEAR[15~30)',)",28.48%,59.49%,1.129
"('Non-IACS',)","('FOCs',)",31.21%,65.45%,0.979
"('FOCs',)","('Non-IACS',)",31.21%,46.67%,0.979
"('FOCs',)","('General cargo/multipurpose',)",32.87%,49.15%,1.027
"('General cargo/multipurpose',)","('FOCs',)",32.87%,68.66%,1.027
"('Non-IACS',)","('General cargo/multipurpose',)",34.81%,73.00%,1.525
"('General cargo/multipurpose',)","('Non-IACS',)",34.81%,72.73%,1.525
"('IACS',)","('FOCs',)",35.66%,68.16%,1.019
"('FOCs',)","('IACS',)",35.66%,53.33%,1.019
"('FOCs',)","('YEAR[15~30)',)",35.75%,53.46%,1.015
"('YEAR[15~30)',)","('FOCs',)",35.75%,67.84%,1.015
